Filename,IonIndex,X,Y,X_rot,Y_rot,Kink,Predicted,Zigzag,DefectType
image14_4.tif,17,1098.0,113.7950471744278,176.78508495330797,8.303531355699068,False,False,A,
image14_4.tif,18,1146.0,97.92529628482004,224.89746723612825,-7.2221784306509775,False,False,A,
image14_4.tif,19,1193.0,112.38844155378962,271.7927204125293,7.577071570364614,False,False,A,
image14_4.tif,20,1242.0,97.59389620611482,320.89737961834163,-6.866301177211991,False,False,A,
image14_4.tif,21,1298.0,108.55118632018755,376.81750075156685,4.491614964817329,False,False,A,
image14_4.tif,22,1361.0,101.11325748598632,439.869134800279,-2.495103086594805,False,False,A,
image14_4.tif,23,1430.9999999999998,103.71329459367556,509.8487271604683,0.6060009205439921,True,False,,
image14_4.tif,24,1508.9999999999998,102.08649170891172,587.85837467061,-0.4623543430767567,True,False,,
image14_4.tif,25,1604.0,100.56921098071822,682.8668024585058,-1.2994863997697312,True,False,,
image14_5.tif,1,243.0000000000001,110.17831112115016,-677.1306589415799,0.886389488245277,True,False,,
image14_5.tif,2,336.0000000000001,109.73615279373956,-584.1298573388295,0.6709707509663376,True,False,,
image14_5.tif,3,413.0000000000001,110.20304564675288,-507.1350833230966,-0.3403468066838278,True,False,,
image14_5.tif,4,482.00000000000006,107.04093781468023,-438.11445011067946,2.333810424787377,False,False,B,
image14_5.tif,5,544.0,113.7788574606279,-376.1636410759763,-4.842318134609018,False,False,B,
image14_5.tif,6,600.0,102.16366428657793,-320.0829144977968,6.376630966531223,False,False,B,
image14_5.tif,7,647.0,115.54080617276703,-273.17867380769263,-7.332494838129261,False,False,B,
image14_5.tif,8,697.0,101.10239853294946,-223.07783542074998,6.752021770508612,False,False,B,
image14_5.tif,9,742.0,114.75543618847212,-178.17549548586004,-7.218851702352966,False,False,B,
image14_5.tif,10,789.0,99.2243955146505,-131.06685653423366,7.979482434558641,False,False,B,
image14_5.tif,11,832.0,121.62051665471198,-88.22628547132311,-14.720114767242498,False,False,B,
